19.3	160	13	44	48	152	0	110	26	28	154	66	0	32	0	224	36	26	138	121	105	52	0	174	0	161	3372	48	165.2	0	50.9	650	0.2	154	0.292	13.8	121	105	18.28	0.0	84.4	161	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
20.8	164	13	44	63	153	0	97	34	28	152	193	0	32	0	192	38	26	140	121	105	52	0	174	0	161	3372	63	166.6	0	46.1	850	0.2	152	0.853	14.0	121	105	18.28	0.0	84.4	161	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
22.3	160	13	44	71	153	1	100	36	28	144	22	0	32	0	224	39	26	137	121	107	52	0	174	0	160	3372	71	166.6	1	47.3	900	0.2	144	0.097	13.7	121	107	18.28	0.0	84.4	160	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	1	1	1	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
23.7	160	13	44	74	153	2	101	37	28	144	179	0	32	0	224	39	26	138	121	110	52	0	174	0	163	3372	74	166.6	2	47.6	925	0.2	144	0.791	13.8	121	110	18.28	0.0	84.4	163	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	1	1	1	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
25.2	160	13	44	77	154	3	100	37	28	146	13	0	32	0	128	37	26	137	121	110	52	0	174	0	165	3372	77	167.9	3	47.3	925	0.2	146	0.057	13.7	121	110	18.28	0.0	84.4	165	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
26.7	160	13	44	81	154	3	97	37	28	151	139	0	32	0	160	36	26	136	121	112	52	0	174	0	162	3372	81	167.9	3	46.1	925	0.2	151	0.614	13.6	121	112	18.28	0.0	84.4	162	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
28.2	160	13	44	84	154	4	101	37	28	151	28	0	32	0	160	36	26	132	121	115	52	0	174	0	162	3372	84	167.9	4	47.6	925	0.2	151	0.124	13.2	121	115	18.28	0.0	84.4	162	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
29.6	160	13	44	87	154	4	103	37	28	151	19	0	32	0	128	37	26	138	121	117	52	0	174	0	172	3372	87	167.9	4	48.4	925	0.2	151	0.084	13.8	121	117	18.28	0.0	84.4	172	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
31.1	160	13	44	89	154	4	100	38	28	155	38	0	32	0	160	36	26	136	121	122	52	0	174	0	173	3372	89	167.9	4	47.3	950	0.2	155	0.168	13.6	121	122	18.28	0.0	84.4	173	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
32.6	160	13	44	90	154	3	100	39	28	161	174	0	32	0	224	36	26	137	121	123	52	0	173	0	171	3372	90	167.9	3	47.3	975	0.2	161	0.769	13.7	121	123	18.28	0.0	85.1	171	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
